iter	Passed	Remaining
0	148	148125
1	151	75386
2	154	51350
3	158	39562
4	163	32481
5	167	27828
6	173	24576
7	177	22056
8	183	20165
9	187	18583
10	192	17283
11	196	16198
12	201	15330
13	206	14529
14	210	13851
15	215	13248
16	219	12710
17	224	12243
18	230	11898
19	238	11693
20	243	11347
21	248	11040
22	253	10778
23	258	10495
24	263	10259
25	267	10016
26	273	9852
27	278	9661
28	283	9481
29	287	9304
30	292	9153
31	296	8981
32	301	8820
33	305	8673
34	309	8537
35	314	8434
36	320	8338
37	324	8224
38	329	8118
39	334	8036
40	338	7919
41	342	7806
42	346	7704
43	351	7632
44	355	7543
45	359	7459
46	364	7383
47	369	7321
48	373	7246
49	377	7177
50	381	7098
51	384	7004
52	387	6926
53	391	6852
54	395	6788
55	399	6729
56	403	6672
57	407	6621
58	412	6578
59	416	6518
60	419	6458
61	423	6406
62	427	6358
63	432	6318
64	436	6279
65	441	6250
66	445	6209
67	449	6163
68	454	6132
69	458	6085
70	461	6043
71	465	6005
72	470	5970
73	474	5943
74	479	5918
75	483	5883
76	488	5858
77	492	5826
78	497	5802
79	502	5782
80	507	5757
81	511	5729
82	516	5702
83	520	5679
84	525	5651
85	529	5624
86	532	5592
87	536	5564
88	542	5551
89	546	5526
90	550	5502
91	555	5484
92	559	5459
93	564	5437
94	568	5414
95	573	5399
96	577	5378
97	580	5346
98	585	5328
99	590	5315
100	595	5298
101	600	5288
102	605	5274
103	609	5251
104	613	5233
105	618	5213
106	622	5194
107	627	5179
108	631	5159
109	636	5148
110	640	5133
111	645	5115
112	649	5095
113	654	5082
114	658	5068
115	663	5054
116	667	5037
117	671	5019
118	676	5005
119	680	4988
120	684	4973
121	688	4956
122	693	4942
123	697	4925
124	700	4906
125	705	4892
126	709	4874
127	713	4861
128	718	4851
129	724	4846
130	727	4828
131	732	4816
132	737	4808
133	742	4799
134	746	4785
135	751	4776
136	756	4763
137	760	4752
138	765	4739
139	770	4731
140	774	4718
141	778	4702
142	781	4685
143	785	4667
144	789	4653
145	793	4638
146	797	4625
147	801	4615
148	807	4612
149	812	4603
150	816	4593
151	821	4581
152	825	4571
153	830	4560
154	834	4551
155	840	4545
156	844	4535
157	849	4528
158	855	4525
159	859	4513
160	864	4507
161	869	4496
162	873	4485
163	877	4472
164	881	4460
165	885	4448
166	889	4438
167	894	4428
168	898	4417
169	902	4406
170	906	4395
171	910	4385
172	915	4374
173	919	4362
174	923	4353
175	927	4340
176	930	4328
177	935	4318
178	939	4310
179	943	4299
180	947	4287
181	951	4277
182	957	4274
183	963	4270
184	969	4271
185	973	4261
186	978	4253
187	983	4246
188	988	4239
189	992	4229
190	997	4222
191	1001	4215
192	1007	4210
193	1011	4203
194	1015	4192
195	1019	4182
196	1024	4175
197	1028	4166
198	1033	4158
199	1037	4148
200	1041	4140
201	1046	4134
202	1052	4133
203	1057	4125
204	1062	4119
205	1066	4110
206	1070	4101
207	1074	4092
208	1078	4083
